,period,hour,Load Profile,price,year,scenario_price
0,0,0,1264.1199559730683,1084.5479590004718,2050,low
1,0,1,1186.141628199759,1039.2055211912739,2050,low
2,0,2,872.4970738151827,878.2101517481365,2050,low
3,0,3,1231.7192976290485,540.5343076547227,2050,low
4,0,4,1292.8625070235232,979.3846564555587,2050,low
5,0,5,1316.2196199032915,1240.8872629011198,2050,low
6,0,6,1352.3605462394478,1320.995393442413,2050,low
7,0,7,1416.3656866341823,1840.0386016461075,2050,low
8,0,8,1467.0314507536123,2251.0614682882256,2050,low
9,0,9,1491.4527403005993,1767.2551894176033,2050,low
10,0,10,1514.8118093874762,1701.3374690326223,2050,low
11,0,11,1535.0976771063365,1655.2596076374332,2050,low
12,0,12,1579.2297094821793,1511.3621409663865,2050,low
13,0,13,1682.4235468886723,1614.3633842234494,2050,low
14,0,14,2082.865010693291,1577.6703985189724,2050,low
15,0,15,1826.073703513463,1546.8853796460555,2050,low
16,0,16,1736.2446730746904,1358.8080982537049,2050,low
17,0,17,1633.8959171392244,1403.8253432825359,2050,low
18,0,18,1601.1724846222428,1441.2662332505224,2050,low
19,0,19,1554.0670174409356,1478.7640679178685,2050,low
20,0,20,1439.6954126144265,1282.697476166327,2050,low
21,0,21,1391.1286587228014,1200.6274001625095,2050,low
22,0,22,1369.4441029211073,1161.3112867672721,2050,low
23,0,23,1334.0582725289696,1123.413512401535,2050,low
24,1,0,333.83430848645946,62.309468020731934,2050,low
25,1,1,312.96462162377753,55.681622948919944,2050,low
26,1,2,261.9709754572686,47.99584015576976,2050,low
27,1,3,238.45470339356038,16.7171356,2050,low
28,1,4,245.84389537366815,39.26415296159385,2050,low
29,1,5,253.39012731334802,68.83356311826343,2050,low
30,1,6,228.6979030817843,99.42844595744435,2050,low
31,1,7,224.12157390695577,254.5557049732902,2050,low
32,1,8,214.9245748628312,486.5826602418212,2050,low
33,1,9,206.0462745601915,743.593180609084,2050,low
34,1,10,210.4350795480014,420.26696078317815,2050,low
35,1,11,201.4616315051503,370.2027285746088,2050,low
36,1,12,144.7,224.54033498156085,2050,low
37,1,13,188.49567343129212,173.78085348193656,2050,low
38,1,14,195.81650684076251,154.90887693664268,2050,low
39,1,15,219.65147764595548,135.68582206030192,2050,low
40,1,16,233.20494992150742,109.93355034289159,2050,low
41,1,17,356.44991019379745,197.09216814333828,2050,low
42,1,18,689.6249646577832,330.60300083328553,2050,low
43,1,19,405.49810839054686,290.8306831795317,2050,low
44,1,20,377.97639359327854,121.53042348261805,2050,low
45,1,21,296.2407896938025,82.44088981258702,2050,low
46,1,22,271.2012300222437,90.61150477958942,2050,low
47,1,23,281.036550313806,75.25307583870119,2050,low
48,2,0,1022.7043435161471,726.5624718234188,2050,low
49,2,1,1003.5048228117394,777.6076514227177,2050,low
50,2,2,909.4851309821948,604.2338835005829,2050,low
51,2,3,863.6368529028466,416.091542144012,2050,low
52,2,4,884.2837805623709,671.1603666915324,2050,low
53,2,5,961.5173523435219,890.7900690274465,2050,low
54,2,6,935.704733778539,1079.8034636369086,2050,low
55,2,7,812.3932624645481,1393.6516433637667,2050,low
56,2,8,782.3429403854617,1481.9982348928859,2050,low
57,2,9,749.2410283692758,1987.1753615066784,2050,low
58,2,10,691.5822895992752,1340.1335499623956,2050,low
59,2,11,380.0493210596321,1302.5861479132934,2050,low
60,2,12,646.3484468575475,1223.129647714161,2050,low
61,2,13,720.9706684538118,1108.3484271375696,2050,low
62,2,14,839.8892438230623,1043.2917193908759,2050,low
63,2,15,984.2720465864809,1002.805622734618,2050,low
64,2,16,1044.0638894796123,968.8544089770112,2050,low
65,2,17,1109.6801993102902,1144.458561966755,2050,low
66,2,18,1154.1760862083809,1182.007962049698,2050,low
67,2,19,1398.8654578383362,1259.9462850811585,2050,low
68,2,20,1188.9138531311694,944.471837754579,2050,low
69,2,21,1129.8488809080582,919.5468085877252,2050,low
70,2,22,1087.9580098099307,858.6152996999499,2050,low
71,2,23,1067.6357193777574,820.722574477496,2050,low
72,3,0,1096.063438750279,1695.7609036923584,2050,low
73,3,1,1111.884315222305,1535.389750281221,2050,low
74,3,2,1203.832329793047,1454.1833517749283,2050,low
75,3,3,1337.908088119203,1136.0637542017246,2050,low
76,3,4,1161.7885999850444,1617.009851988803,2050,low
77,3,5,1129.7714097134951,1757.9074380652503,2050,low
78,3,6,1081.6392941539775,2003.856458080487,2050,low
79,3,7,949.1204192908012,2324.8642887489536,2050,low
80,3,8,909.1114022716835,2734.7882487630027,2050,low
81,3,9,888.3573318250579,2222.0074928500558,2050,low
82,3,10,826.2237668421567,2180.6469790931956,2050,low
83,3,11,783.943747807058,2151.645558495846,2050,low
84,3,12,671.6643579626075,2123.9932540787527,2050,low
85,3,13,497.773864870724,2069.261906763279,2050,low
86,3,14,734.1497313502966,1910.86527248402,2050,low
87,3,15,862.2263687440633,2029.3821180585667,2050,low
88,3,16,930.6531034752966,1877.8988766929613,2050,low
89,3,17,965.3771181150265,1963.399331683369,2050,low
90,3,18,1031.5302253944217,2095.9082058793133,2050,low
91,3,19,1050.1839471557469,2049.9703990789735,2050,low
92,3,20,999.1559758463717,1982.8861808148781,2050,low
93,3,21,1011.4981498083686,1940.0278760777298,2050,low
94,3,22,1065.9496894747838,1842.2990519474715,2050,low
95,3,23,985.0836396548582,1801.9290148341272,2050,low
96,4,0,1289.8206049692485,1659.785675751696,2050,low
97,4,1,1589.9350528854063,1691.3013960485828,2050,low
98,4,2,1641.8926472743485,1577.1106289921324,2050,low
99,4,3,1770.795203031345,1258.2264531734304,2050,low
100,4,4,1853.2273253397475,1625.6217179485134,2050,low
101,4,5,1969.7214148793676,1750.5296572488257,2050,low
102,4,6,2106.123090588173,1881.677795689073,2050,low
