,ts_type,RMSE,RMSE_duration,MAE,year,scenario_price
0,Load Profile,0.08930701391551427,0.005062435370907552,0.06385162049961361,2025,mid
1,price,0.07477253124570277,0.012085329104177306,0.05498662672583361,2025,mid
0,Load Profile,0.08897500167976222,0.005235563196852577,0.06527533994444029,2025,high
1,price,0.07346374250472623,0.010670424701774347,0.05428783900687442,2025,high
0,Load Profile,0.07795204552116289,0.005101497490555955,0.05769640539359713,2025,low
1,price,0.08078479238128887,0.008496585488559765,0.06155027803210981,2025,low
0,Load Profile,0.08879011175044596,0.004975081639922958,0.06357844096184675,2030,mid
1,price,0.07486625787684913,0.011803187001563244,0.0550613560529937,2030,mid
0,Load Profile,0.08897500167976222,0.005235563196852577,0.06527533994444029,2030,high
1,price,0.07346374249796234,0.010670424693360709,0.05428783900282702,2030,high
0,Load Profile,0.07795204552116289,0.005101497490555955,0.05769640539359713,2030,low
1,price,0.08078479240170519,0.008496585476056095,0.06155027804608622,2030,low
0,Load Profile,0.09151573444129883,0.005029579375488221,0.06413545138998647,2035,mid
1,price,0.06796421606058764,0.008947678740494517,0.049288728710559546,2035,mid
0,Load Profile,0.08736150883410568,0.00504349124533405,0.062158967134160276,2035,high
1,price,0.07440678250228348,0.011257253406710082,0.05257356877279586,2035,high
0,Load Profile,0.07759146763305849,0.005048008846435291,0.05742535392345989,2035,low
1,price,0.07399558044575366,0.00746249744046984,0.05654776496325976,2035,low
0,Load Profile,0.08906055996149845,0.008533364569569685,0.06410706201834385,2040,mid
1,price,0.06507509825755593,0.009093473225479713,0.04709586659088614,2040,mid
0,Load Profile,0.07647734163989187,0.0042114032366801935,0.056665535543466324,2040,high
1,price,0.06897139298976122,0.0102496541839655,0.04990888508893011,2040,high
0,Load Profile,0.08477427078746302,0.005180263955390137,0.06189279151142523,2040,low
1,price,0.07456792705333953,0.006261036837585057,0.054986091397145526,2040,low
0,Load Profile,0.08906055996149845,0.008533364569569685,0.06410706201834385,2045,mid
1,price,0.0650750982588967,0.009093473225364133,0.04709586659190962,2045,mid
0,Load Profile,0.07647734163989187,0.0042114032366801935,0.056665535543466324,2045,high
1,price,0.06897139299401624,0.010249654183652025,0.049908885093190726,2045,high
0,Load Profile,0.08477427078746302,0.005180263955390137,0.06189279151142523,2045,low
1,price,0.0745679270605947,0.006261036836698167,0.054986091401795896,2045,low
0,Load Profile,0.08906055996149845,0.008533364569569685,0.06410706201834385,2050,mid
1,price,0.06507509825741886,0.009093473224102123,0.0470958665902175,2050,mid
0,Load Profile,0.07647734163989187,0.0042114032366801935,0.056665535543466324,2050,high
1,price,0.06897139299391197,0.010249654185280524,0.04990888509283098,2050,high
0,Load Profile,0.08477427078746302,0.005180263955390137,0.06189279151142523,2050,low
1,price,0.07456792705084835,0.006261036828510363,0.0549860913950336,2050,low
