,year,scenario_price,period,weight,hour,Load Profile,price
0,2025,mid,0,13.0,0,1480.2547003766153,1165.8321826645838
1,2025,mid,0,13.0,1,1562.2190133319045,1121.3437745758624
2,2025,mid,0,13.0,2,1517.2966345121172,965.2797493318667
3,2025,mid,0,13.0,3,1622.0565752614625,952.2519067665106
4,2025,mid,0,13.0,4,1806.5896809319295,1111.7364552544047
5,2025,mid,0,13.0,5,2052.8285905400335,1290.2889813757881
6,2025,mid,0,13.0,6,2038.2055605014857,1484.0244736877125
7,2025,mid,0,13.0,7,1937.3051155877613,1765.362901603524
8,2025,mid,0,13.0,8,1871.9243335436963,1790.1584761940871
9,2025,mid,0,13.0,9,1589.5583902073395,1678.013069068313
10,2025,mid,0,13.0,10,1189.2933061553492,1658.9097959155613
11,2025,mid,0,13.0,11,1198.826722163656,1529.1674076421332
12,2025,mid,0,13.0,12,1203.6933772711225,1479.4150972163782
13,2025,mid,0,13.0,13,1194.0677023982191,1509.8060045873037
14,2025,mid,0,13.0,14,1455.0603421030496,1487.2325940124178
15,2025,mid,0,13.0,15,1882.6648030304739,1497.4267525579528
16,2025,mid,0,13.0,16,2008.1522353591704,1458.5296370362455
17,2025,mid,0,13.0,17,1842.78590880863,1456.4358089831092
18,2025,mid,0,13.0,18,1858.6159923256487,1493.2744840547118
19,2025,mid,0,13.0,19,1709.387278840782,1426.1157637078636
20,2025,mid,0,13.0,20,1439.5531646121185,1364.3915953656162
21,2025,mid,0,13.0,21,1223.1984388945693,1321.8064732460941
22,2025,mid,0,13.0,22,1183.2349740468446,1263.2453881876647
23,2025,mid,0,13.0,23,1100.5479666522162,1283.436097377376
24,2025,mid,0,13.0,24,1048.3217610518714,1210.2204242888674
25,2025,mid,0,13.0,25,1009.8959439474216,1157.2035643846132
26,2025,mid,0,13.0,26,949.1896110429135,1007.722280155488
27,2025,mid,0,13.0,27,1105.3992452822497,991.8299659073838
28,2025,mid,0,13.0,28,1169.2961972540545,1148.688230555816
29,2025,mid,0,13.0,29,1146.5236341761474,1359.3996072761656
30,2025,mid,0,13.0,30,1076.16087344387,1567.1103542673516
31,2025,mid,0,13.0,31,1044.0163473707003,1825.7228400788133
32,2025,mid,0,13.0,32,1056.5404882396776,1868.6989430165559
33,2025,mid,0,13.0,33,971.6777092883144,1726.6924313778215
34,2025,mid,0,13.0,34,774.881862865227,1690.1592400492937
35,2025,mid,0,13.0,35,612.2525492977162,1591.0044702781101
36,2025,mid,0,13.0,36,546.6718730470254,1525.815285503178
37,2025,mid,0,13.0,37,744.3749316386453,1556.8492189375984
38,2025,mid,0,13.0,38,826.1931680583234,1537.5128623912256
39,2025,mid,0,13.0,39,1036.497249906084,1552.2090499398248
40,2025,mid,0,13.0,40,1096.8268591134902,1513.323528991519
41,2025,mid,0,13.0,41,1065.9585806672387,1516.752913030825
42,2025,mid,0,13.0,42,1052.9270160429805,1546.4324826834804
43,2025,mid,0,13.0,43,1027.9171754986082,1466.2392225811286
44,2025,mid,0,13.0,44,1061.5224669278894,1436.440463828098
45,2025,mid,0,13.0,45,1006.7898955060056,1391.2954759723257
46,2025,mid,0,13.0,46,923.8876174273184,1302.6413261517164
47,2025,mid,0,13.0,47,894.71075149867,1340.9197226723759
48,2025,mid,0,13.0,48,872.6993240536842,1242.395330797024
49,2025,mid,0,13.0,49,913.7007011281198,1180.8864979907755
50,2025,mid,0,13.0,50,935.7813227215529,1061.670737733006
51,2025,mid,0,13.0,51,963.9356529009234,1066.6176161902931
52,2025,mid,0,13.0,52,902.6757668088361,1177.7934377026975
53,2025,mid,0,13.0,53,881.6791868744119,1412.3771504366505
54,2025,mid,0,13.0,54,977.2132411641055,1630.7838989832671
55,2025,mid,0,13.0,55,848.71201925859,1916.8124698826794
56,2025,mid,0,13.0,56,788.0825687412454,2133.8697037032402
57,2025,mid,0,13.0,57,706.8640149414448,1744.1339368221184
58,2025,mid,0,13.0,58,689.0426775968842,1712.382006118632
59,2025,mid,0,13.0,59,639.6995615151802,1653.0655875539055
60,2025,mid,0,13.0,60,669.2377746634985,1575.572880970591
61,2025,mid,0,13.0,61,726.9149415137545,1617.632876046879
62,2025,mid,0,13.0,62,837.0105199322647,1586.143442602065
63,2025,mid,0,13.0,63,1138.4894247175341,1622.7029191543284
64,2025,mid,0,13.0,64,1506.4639061607427,1562.3133589325032
65,2025,mid,0,13.0,65,1579.5021739663187,1581.6215221822456
66,2025,mid,0,13.0,66,1681.1099368419498,1642.9257263292864
67,2025,mid,0,13.0,67,1750.5116677346793,1505.150487461621
68,2025,mid,0,13.0,68,1466.3313000612577,1453.9164981676536
69,2025,mid,0,13.0,69,1227.8498233179773,1429.8383641374687
70,2025,mid,0,13.0,70,1159.6935870973,1331.4211614836345
71,2025,mid,0,13.0,71,998.4174035438717,1355.1371989184624
72,2025,mid,0,13.0,72,860.0752360813942,1183.5364327722789
73,2025,mid,0,13.0,73,888.6139781965835,1172.1695228138976
74,2025,mid,0,13.0,74,929.5538493612881,1077.6785882958618
75,2025,mid,0,13.0,75,1079.6513338211048,1071.8765844197549
76,2025,mid,0,13.0,76,1360.9793649307514,1153.072849619507
77,2025,mid,0,13.0,77,1611.6390118007723,1266.5398624498466
78,2025,mid,0,13.0,78,1736.2499849158016,1328.0646380011722
79,2025,mid,0,13.0,79,1723.03390256235,1521.0665906832262
80,2025,mid,0,13.0,80,1668.2628899468848,1605.496382300741
81,2025,mid,0,13.0,81,1403.6644662840736,1501.0840531729239
82,2025,mid,0,13.0,82,1110.119823854105,1533.8321242251125
