,year,scenario_price,period,weight,hour,Load Profile,price
3523,2023,low,1,12.142857142857142,163,1677.6144010592743,853.5405531111666
3524,2023,low,1,12.142857142857142,164,1592.2273135970959,754.3010709303145
3525,2023,low,1,12.142857142857142,165,1497.15361771442,743.3467046566949
3526,2023,low,1,12.142857142857142,166,1397.458149568783,701.8886327670061
3527,2023,low,1,12.142857142857142,167,1362.4418447826513,711.6281484331714
3528,2030,mid,1,11.142857142857142,0,1322.9080064882232,719.9696107339744
3529,2030,mid,1,11.142857142857142,1,1364.9092336088204,669.9142733564466
3530,2030,mid,1,11.142857142857142,2,1378.2400691121459,463.50457267048466
3531,2030,mid,1,11.142857142857142,3,1464.4024867936243,384.16872158588103
3532,2030,mid,1,11.142857142857142,4,1576.4767420256765,647.3066714872301
3533,2030,mid,1,11.142857142857142,5,1686.254334747036,864.7749490226262
3534,2030,mid,1,11.142857142857142,6,1756.3668007683657,1210.3981168776268
3535,2030,mid,1,11.142857142857142,7,1848.5474962902604,1684.007936601841
3536,2030,mid,1,11.142857142857142,8,2030.2714501405915,1708.1353028336746
3537,2030,mid,1,11.142857142857142,9,2024.4011866348385,1641.9647889044372
3538,2030,mid,1,11.142857142857142,10,1918.0636738176754,1451.1925253667728
3539,2030,mid,1,11.142857142857142,11,1896.2344331152622,1337.0378727934183
3540,2030,mid,1,11.142857142857142,12,1923.6325778058085,1067.5487619214794
3541,2030,mid,1,11.142857142857142,13,2089.9064838825475,1147.8800467426568
3542,2030,mid,1,11.142857142857142,14,2140.5469605459407,1266.3503885536454
3543,2030,mid,1,11.142857142857142,15,2220.9223259317555,1184.89856890218
3544,2030,mid,1,11.142857142857142,16,1908.4933851233604,1054.7771988361035
3545,2030,mid,1,11.142857142857142,17,1766.8447335066123,1161.0524898636859
3546,2030,mid,1,11.142857142857142,18,1666.2515590768837,1083.5156145467079
3547,2030,mid,1,11.142857142857142,19,1602.709430007946,1025.111489802071
3548,2030,mid,1,11.142857142857142,20,1515.52332286501,882.3882306179623
3549,2030,mid,1,11.142857142857142,21,1414.5830067460736,822.8694940049792
3550,2030,mid,1,11.142857142857142,22,1396.90942400017,818.5746725543112
3551,2030,mid,1,11.142857142857142,23,1384.694647565761,788.9125173357445
