Typical Week,TimeStep,load,weight_abs,weight_rel
0,0,11.897727701957107,29.0,0.5561643835616439
0,1,11.897727701957107,29.0,0.5561643835616439
0,2,11.897727701957107,29.0,0.5561643835616439
0,3,12.491290740469076,29.0,0.5561643835616439
0,4,13.084853778981042,29.0,0.5561643835616439
0,5,13.084853778981042,29.0,0.5561643835616439
0,6,13.084853778981042,29.0,0.5561643835616439
0,7,13.084853778981042,29.0,0.5561643835616439
0,8,12.194509221213147,29.0,0.5561643835616439
0,9,11.007383144189102,29.0,0.5561643835616439
0,10,9.820257067165205,29.0,0.5561643835616439
0,11,9.52347554790921,29.0,0.5561643835616439
0,12,9.52347554790921,29.0,0.5561643835616439
0,13,9.226694028653203,29.0,0.5561643835616439
0,14,8.33634947088521,29.0,0.5561643835616439
0,15,9.226694028653203,29.0,0.5561643835616439
0,16,9.52347554790921,29.0,0.5561643835616439
0,17,10.413820105677136,29.0,0.5561643835616439
0,18,10.710601624933178,29.0,0.5561643835616439
0,19,11.897727701957107,29.0,0.5561643835616439
0,20,11.897727701957107,29.0,0.5561643835616439
0,21,11.897727701957107,29.0,0.5561643835616439
0,22,11.897727701957107,29.0,0.5561643835616439
0,23,11.897727701957107,29.0,0.5561643835616439
0,24,11.897727701957107,29.0,0.5561643835616439
0,25,11.897727701957107,29.0,0.5561643835616439
0,26,11.897727701957107,29.0,0.5561643835616439
0,27,12.491290740469076,29.0,0.5561643835616439
0,28,13.084853778981042,29.0,0.5561643835616439
0,29,13.084853778981042,29.0,0.5561643835616439
0,30,13.084853778981042,29.0,0.5561643835616439
0,31,13.084853778981042,29.0,0.5561643835616439
0,32,12.194509221213147,29.0,0.5561643835616439
0,33,11.007383144189102,29.0,0.5561643835616439
0,34,9.820257067165205,29.0,0.5561643835616439
0,35,9.52347554790921,29.0,0.5561643835616439
0,36,9.52347554790921,29.0,0.5561643835616439
0,37,9.226694028653203,29.0,0.5561643835616439
0,38,8.33634947088521,29.0,0.5561643835616439
0,39,9.226694028653203,29.0,0.5561643835616439
0,40,9.52347554790921,29.0,0.5561643835616439
0,41,10.413820105677136,29.0,0.5561643835616439
0,42,10.710601624933178,29.0,0.5561643835616439
0,43,11.897727701957107,29.0,0.5561643835616439
0,44,11.897727701957107,29.0,0.5561643835616439
0,45,11.897727701957107,29.0,0.5561643835616439
0,46,11.897727701957107,29.0,0.5561643835616439
0,47,11.897727701957107,29.0,0.5561643835616439
0,48,11.897727701957107,29.0,0.5561643835616439
0,49,11.897727701957107,29.0,0.5561643835616439
0,50,11.897727701957107,29.0,0.5561643835616439
0,51,12.491290740469076,29.0,0.5561643835616439
0,52,13.084853778981042,29.0,0.5561643835616439
0,53,13.084853778981042,29.0,0.5561643835616439
0,54,13.084853778981042,29.0,0.5561643835616439
0,55,13.084853778981042,29.0,0.5561643835616439
0,56,12.194509221213147,29.0,0.5561643835616439
0,57,11.007383144189102,29.0,0.5561643835616439
0,58,9.820257067165205,29.0,0.5561643835616439
0,59,9.52347554790921,29.0,0.5561643835616439
0,60,9.52347554790921,29.0,0.5561643835616439
0,61,9.226694028653203,29.0,0.5561643835616439
0,62,8.33634947088521,29.0,0.5561643835616439
0,63,9.226694028653203,29.0,0.5561643835616439
